stationKey,stationKey2,name,lat,lng,radiusMeters,email,STD
11000583,11000583,พีแอนด์เอ2010ปิโตรเลียม,19.35413255,99.19801757,300,,
11000586,11000586,พีทีวีปิโตรเลียม,18.86265771,98.72473651,300,,
11000598,11000598,สุทธเกียรติเซอร์วิส,18.602382,99.086366,300,,
11000599,11000599,หจก.ปิยะกมลปิโตรเลียม,17.80547793,98.94555761,300,,
11000600,11000600,หจก.ลี้เพิ่มพูนปิโตรเลียม,17.86712156,98.92663371,300,,
11000601,11000601,หจก.นาคราปิโตรเลียม2016,18.358151,98.810622,300,,
11000602,11000602,หจก.พรชัยบริการ,18.44093,99.094216,300,,
11000615,11000615,พงศ์ศิษฎ์ปิโตรเลี่ยม,18.821047,99.950438,300,,
11000628,11000628,หจก.เทพนฤมิตรแม่สะเรียง,18.14290433,97.94028658,300,,
11000632,11000632,อุตรดิตถ์พีทีออยล์,17.452524,100.140051,300,,
11000646,11000646,สหกรณ์การเกษตรวังชิ้นสาขานาพูนจำกัด,17.785638,99.770295,300,,
11000649,11000649,บจก.สตาร์ซัคเซ็ส,18.77751789,100.7732879,300,,
11000652,11000652,หจก.ขันเเก้วบริการ,19.181787,99.925406,300,,
11000654,11000654,คู่แข่งการปิโตรเลียม1994,19.472939,100.332373,300,,
11000655,11000655,หจก.คู่แข่งออย์ล2009,19.500521,100.280163,300,,
11000659,11000659,หจก.รัญจวญรุ่งเรืองทรัพย์,18.93193,100.237108,300,,
11000666,11000666,หจก.พิธิวัฒน์วงษ์ธค.57,20.24413217,99.6616996,300,,
11000669,11000669,พรีเมียร์จิรัฎฐ์ภัทรปิโตรเลียมพลัส,20.215438,100.408348,300,,
11000673,11000673,เมืองปายศรีมงคล,19.34921495,98.4352019,300,,
11000674,11000674,นิยมบริการปางมะผ้า,19.5162161,98.2541374,300,,
11000675,11000675,เทพพิทักษ์แม่ลา,18.33689559,97.91759109,300,,
11000681,11000681,ส.ธัญญปิโตรเลียม,15.755234,99.768722,300,,
11000684,11000684,ดาวนครสวรรค์,15.70741656,100.1009807,300,,
11000692,11000692,หจก.ทุ่งนารุ่งเรือง,15.312422,99.71807263,300,,
11000693,11000693,หจก.บ้านไร่สัมพันธ์,15.0847934,99.52601737,300,,
11000715,11000715,หจก.โชครับทรัพย์ปิโตรเลียม,17.44470698,99.72593664,300,,
11000721,11000721,หจก.ณัฐพลพรรณภัทรปิโตรเลียม,17.0568426,99.69932342,300,,
11000732,11000732,หจก.พิมทัตต์2014,16.90771,100.356097,300,,
11000746,11000746,ธีรพงษ์ปิโตรเลียม,16.57143828,100.6339011,300,,
11000749,11000749,หจก.พรพัฒน์แก๊สแอนด์ออยล์,16.883159,100.659746,300,,
11000757,11000757,อ.กิจเจริญปิโตรเลียม,16.21987652,100.4095025,300,,
11000758,11000758,บ.จก.บีเอสออยล์2016,16.093983,100.12415,300,,
11000759,11000759,เต็งเจริญทรัพย์ไพศาล,16.0971626,100.2557325,300,,
11000765,11000765,เจริญผลออยล์,13.55278827,99.87145445,300,,
11000769,11000769,หนูกุ้งนก,13.57797,99.829589,300,,
11000777,11000777,โชคถาวรปิโตรเลียม,14.010019,99.989468,300,,
11000779,11000779,พีแอนด์พีออยล์เซอร์วิส,13.968489,99.708227,300,,
11000782,11000782,หจก.ลิ้มจงเจริญแก๊ส,14.146861,99.708663,300,,
11000785,11000785,หจก.ห้วยกระเจาปิโตรเลียม,14.331672,99.733279,300,,
11000786,11000786,พุถ่องบริการ,14.55986649,98.76393588,300,,
11000789,11000789,อิสรินทร์การค้า,13.83461,99.412742,300,,
11000790,11000790,บ.รุ่งเจริญ,14.2428049,100.0459502,300,,
11000802,11000802,รัตนพันธ์ธุรกิจบจก.,13.83329698,100.0394532,300,,
11000804,11000804,สมพันธ์ปิโตรเลียม,13.8425578,100.046112,300,,
11000812,11000812,บ.จก.ภรันยู,14.02203723,100.0321256,300,,
11000815,11000815,กิจพัฒนาออยล์,14.0747421,99.98860759,300,,
11000836,11000836,หจก.ศรีพร้อมพงษ์,8.081734271,99.88865958,300,,
11000840,11000840,หจก.พีจีออยล์march58กฤษณา,8.57136,99.470742,300,,
11000843,11000843,หจก.ส.เกียรติอ้าน,8.534014,98.296186,300,,
11000851,11000851,ทรัพย์โสภาการปิโตรเลียม,8.605322,98.969652,300,,
11000852,11000852,ระนองมินิปั๊ม,9.953933,98.613173,300,,
11000853,11000853,พี.ที.แสงฟ้าออยล์,10.504678,98.823323,300,,
11000855,11000855,ภูมิภัทรปิโตรเลียม,9.609508786,98.54179028,300,,
11000885,11000885,เคทีพีปิโตรเลียม,7.120698279,100.5353695,300,,
11000888,11000888,หจก.เปี่ยมทรัพย์ปิโตรเลียม,6.983849244,100.375891,300,,
11000889,11000889,หจก.สงขลาแก้วสุขปิโตรเลียม,6.890505655,100.7229093,300,,
11000891,11000891,พีแอนด์ซีปิโตรเลียม,7.105114022,100.3322121,300,,
11000892,11000892,บ.จก.เคซีดีปิโตรเลียม,6.959069957,100.4741015,300,,
11000899,11000899,บ.จก.ซีเคไฟว์เทรดดิ้ง,7.3226074,100.488381,300,,
11000900,11000900,ยิ่งทรัพย์เจริญ,7.555130928,99.56704951,300,,
11000901,11000901,พัทลุงปัญจพล,7.6885089,100.0053883,300,,
11000904,11000904,บจก.ซีวาย.แก๊สแอนด์ออยล์,6.68887,101.557804,300,,
11000906,11000906,หจก.สุริยาเอ็นเตอร์ไพรส์,6.720765363,101.2863562,300,,
11000908,11000908,เบตงรัตนะบริการ,5.774593306,101.0803143,300,,
11000973,11000973,จิตติยาพัฒนา,14.33913669,100.4180179,300,,
11000987,11000987,บจก.พนมชัยกรุ๊ป,13.677092,101.427361,300,,
11001016,11001016,หจก.เคพีพีเอนกบุญย์ปิโตรเลียม,13.90913699,101.9575801,300,,
11001041,11001041,มนตรีทิพย์,15.09753751,104.1414049,300,,
11001045,11001045,ว่องเจริญปิโตรเลียม,18.02211086,103.6925304,300,,
11001066,11001066,พีทีจีออยล์,16.2744429,100.2577795,300,,
11001070,11001070,หจก.ซิ้มเจริญปิโตรเลียม,19.06355741,98.95782731,300,,
11001071,11001071,บริษัทปิโตรเซอร์วิสจำกัด,18.736438,99.142608,300,,
11001093,11001093,หจก.ทุ่งข่าออยล์,6.658805,100.696113,300,,
11001110,11001110,หจก.วี.อาร์.จีแก๊ส,13.892461,99.797807,300,,
11001146,11001146,สหกรณ์การเกษตรเมืองเชียงรายสาขาห้วยสัก,19.788314,99.909005,300,,
11001147,11001147,สหกรณ์การเกษตรเมืองเชียงรายสาขาบัวสลี,19.794625,99.748018,300,,
11001165,11001165,สหกรณ์การเกษตรเมืองเชียงรายสาขานางแล,19.99827549,99.86619787,300,,
11001166,11001166,สหกรณ์การเกษตรเมืองเชียงรายสาขาเวียงกือนา,19.788453,99.908923,300,,
11001167,11001167,สหกรณ์การเกษตรเมืองเชียงรายสาขาสันทราย,19.85364044,99.81265339,300,,
11001180,11001180,หจก.สุริวงศ์ปิโตรเลียม,16.7719321,100.1626389,300,,
11001204,11001204,หจก.ศรีสมหวัง,15.315436,103.924469,300,,
